# L K r 1/eta
16.0 0.0 0 75.58485
16.0 0.0001 0 75.58485
16.0 0.0005 0 75.58485
16.0 0.001 0 75.58485
16.0 0.005 0 75.58485
32.0 0.0 5 96.02479
32.0 0.0001 4 96.01976
32.0 0.0005 1 95.81766
32.0 0.001 0 95.67608
32.0 0.005 0 95.67608
48.0 0.0 9 112.7417
48.0 0.0001 3 112.7706
48.0 0.0005 7 112.6894
48.0 0.001 9 112.1948
48.0 0.005 0 112.2104
64.0 0.0 0 131.5828
64.0 0.0001 4 131.9849
64.0 0.0005 5 131.9449
64.0 0.001 4 131.7666
64.0 0.005 2 131.5978
80.0 0.0 7 144.653
80.0 0.0001 8 145.7658
80.0 0.0005 9 146.8346
80.0 0.001 3 146.2456
80.0 0.005 6 146.0782
96.0 0.0 4 149.2107
96.0 0.0001 2 151.9216
96.0 0.0005 9 154.25
96.0 0.001 3 153.612
96.0 0.005 0 153.5693
96.0 0.01 7 153.5207
96.0 0.05 0 153.5537
112.0 0.0001 3 158.4504
112.0 0.0005 7 162.1806
112.0 0.001 8 161.8782
112.0 0.005 3 161.8812
112.0 0.01 4 161.7872
112.0 0.05 0 161.8566
128.0 0.0001 1 165.0403
128.0 0.0005 4 171.5771
128.0 0.001 1 172.4653
128.0 0.005 5 172.3837
128.0 0.01 0 172.3107
128.0 0.05 3 172.2507
144.0 0.0001 2 170.5907
144.0 0.0005 6 178.9475
144.0 0.001 6 180.3128
144.0 0.005 9 180.1097
144.0 0.01 7 180.1456
144.0 0.05 5 180.1646
160.0 0.0001 7 171.5234
160.0 0.0005 0 181.9343
160.0 0.001 5 183.8866
160.0 0.005 9 183.7027
160.0 0.01 7 183.8976
160.0 0.05 1 183.3905
240.0 0.0001 3 179.4561
240.0 0.0005 1 196.076
240.0 0.001 7 203.8872
240.0 0.005 0 204.2415
240.0 0.01 0 203.3023
240.0 0.05 2 202.574
320.0 0.0001 4 183.0198
320.0 0.0005 8 200.7766
320.0 0.001 8 210.2534
320.0 0.005 6 212.851
320.0 0.01 4 211.4211
320.0 0.05 9 210.0502

