# L K r 1/eta
56.0 0.0001 2 61.74383
56.0 0.0005 0 61.70092
56.0 0.001 5 61.71913
56.0 0.005 5 61.47979
56.0 0.01 0 61.68612
80.0 0.0001 7 75.2123
80.0 0.0005 0 76.1835
80.0 0.001 2 76.40087
80.0 0.005 8 76.35799
80.0 0.01 3 75.99985
104.0 0.0001 2 82.99019
104.0 0.0005 2 84.68093
104.0 0.001 0 85.43156
104.0 0.005 5 85.25124
104.0 0.01 9 84.48642
128.0 0.0005 0 87.72291
128.0 0.001 1 88.90595
128.0 0.005 4 88.91257
128.0 0.01 0 88.29385
128.0 0.05 5 89.09526
152.0 0.0005 2 94.4478
152.0 0.001 3 95.40585
152.0 0.005 1 96.01446
152.0 0.01 8 95.05197
152.0 0.05 1 92.43544
176.0 0.0005 9 99.4281
176.0 0.001 0 100.5066
176.0 0.005 4 100.472
176.0 0.01 4 98.78408
176.0 0.05 1 98.51503
200.0 0.0005 2 100.749
200.0 0.001 4 102.6819
200.0 0.005 6 103.7916
200.0 0.01 0 103.4732
200.0 0.05 2 102.6156
224.0 0.0005 2 101.8812
224.0 0.001 9 105.2923
224.0 0.005 3 104.918
224.0 0.01 0 104.5842
224.0 0.05 3 102.7195
248.0 0.0005 9 103.4661
248.0 0.001 6 107.1721
248.0 0.005 0 106.4724
248.0 0.01 5 106.0861
248.0 0.05 5 105.9473
272.0 0.0005 5 106.1205
272.0 0.001 9 109.7002
272.0 0.002 5 110.1821
272.0 0.005 8 107.5954
272.0 0.01 5 108.071
296.0 0.0005 3 104.7906
296.0 0.0008 8 107.3034
296.0 0.001 3 109.1558
296.0 0.002 8 109.9651
296.0 0.005 8 109.2587
320.0 0.0005 1 106.0295
320.0 0.0008 3 110.2874
320.0 0.001 9 109.9533
320.0 0.002 8 111.5933
320.0 0.005 0 109.467
344.0 0.0005 3 107.4895
344.0 0.0008 2 110.156
344.0 0.001 1 112.382
344.0 0.002 3 112.547
344.0 0.005 6 110.5033
368.0 0.0005 6 106.0518
368.0 0.0008 5 110.3872
368.0 0.001 9 111.4438
368.0 0.002 3 112.2743
368.0 0.005 0 109.809
392.0 0.0005 3 106.0815
392.0 0.0008 3 109.5261
392.0 0.001 0 110.1169
392.0 0.002 9 112.0963
392.0 0.005 8 109.459
